Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD)
1,55,Male,Blouse,Clothing,53
2,19,Male,Sweater,Clothing,64
3,50,Male,Jeans,Clothing,73
4,21,Male,Sandals,Footwear,90
5,45,Male,Blouse,Clothing,49
6,46,Male,Sneakers,Footwear,20
7,63,Male,Shirt,Clothing,85
8,27,Male,Shorts,Clothing,34
9,26,Male,Coat,Outerwear,97
10,57,Male,Handbag,Accessories,31
11,53,Male,Shoes,Footwear,34
12,30,Male,Shorts,Clothing,68
13,61,Male,Coat,Outerwear,72
14,65,Male,Dress,Clothing,51
15,64,Male,Coat,Outerwear,53
16,64,Male,Skirt,Clothing,81
17,25,Male,Sunglasses,Accessories,36
18,53,Male,Dress,Clothing,38
19,52,Male,Sweater,Clothing,48
20,66,Male,Pants,Clothing,90
21,21,Male,Pants,Clothing,51
22,31,Male,Pants,Clothing,62
23,56,Male,Pants,Clothing,37
24,31,Male,Pants,Clothing,88
25,18,Male,Jacket,Outerwear,22
26,18,Male,Hoodie,Clothing,25
27,38,Male,Jewelry,Accessories,20
28,56,Male,Shorts,Clothing,56
29,54,Male,Handbag,Accessories,94
30,31,Male,Dress,Clothing,48
31,57,Male,Jewelry,Accessories,31
32,33,Male,Dress,Clothing,79
33,36,Male,Jacket,Outerwear,67
34,54,Male,Pants,Clothing,38
35,36,Male,T-shirt,Clothing,91
36,54,Male,Blouse,Clothing,33
37,35,Male,T-shirt,Clothing,69
38,35,Male,Jeans,Clothing,45
39,29,Male,Dress,Clothing,37
40,70,Male,Pants,Clothing,60
41,69,Male,Handbag,Accessories,76
42,67,Male,Scarf,Accessories,39
43,20,Male,Coat,Outerwear,100
44,25,Male,Scarf,Accessories,69
45,39,Male,Hat,Accessories,53
46,50,Male,Socks,Clothing,21
47,57,Male,Shirt,Clothing,43
48,55,Male,Jewelry,Accessories,54
49,42,Male,Shirt,Clothing,55
50,68,Male,Hoodie,Clothing,30
51,49,Male,Blouse,Clothing,28
52,59,Male,Skirt,Clothing,59
53,42,Male,T-shirt,Clothing,20
54,29,Male,Skirt,Clothing,24
55,47,Male,Coat,Outerwear,94
56,40,Male,Jacket,Outerwear,28
57,41,Male,Backpack,Accessories,73
58,21,Male,Coat,Outerwear,64
59,69,Male,Hoodie,Clothing,54
60,63,Male,Belt,Accessories,79
61,50,Male,Sweater,Clothing,37
62,55,Male,Scarf,Accessories,68
63,30,Male,Sneakers,Footwear,21
64,33,Male,Sunglasses,Accessories,79
65,65,Male,Boots,Footwear,83
66,65,Male,Backpack,Accessories,36
67,31,Male,Blouse,Clothing,94
68,45,Male,Coat,Outerwear,33
69,57,Male,Handbag,Accessories,46
70,48,Male,Belt,Accessories,70
71,22,Male,Belt,Accessories,29
72,36,Male,Dress,Clothing,48
73,18,Male,Dress,Clothing,26
74,48,Male,Pants,Clothing,85
75,49,Male,Gloves,Accessories,58
76,64,Male,Scarf,Accessories,85
77,50,Male,Hat,Accessories,43
78,22,Male,Dress,Clothing,53
79,50,Male,Skirt,Clothing,91
80,38,Male,Jacket,Outerwear,96
81,19,Male,Sandals,Footwear,72
82,67,Male,Shoes,Footwear,96
83,19,Male,Pants,Clothing,28
84,36,Male,Dress,Clothing,40
85,52,Male,Coat,Outerwear,32
86,53,Male,Sunglasses,Accessories,95
87,24,Male,Hoodie,Clothing,41
88,52,Male,Shoes,Footwear,53
89,33,Male,T-shirt,Clothing,47
90,47,Male,Jacket,Outerwear,83
91,25,Male,Hat,Accessories,48
92,44,Male,Scarf,Accessories,99
93,61,Male,Jacket,Outerwear,87
94,37,Male,Sweater,Clothing,62
95,58,Male,Skirt,Clothing,76
96,37,Male,Sneakers,Footwear,100
97,32,Male,Gloves,Accessories,73
98,21,Male,Shoes,Footwear,92
99,20,Male,Jeans,Clothing,67
100,26,Male,Hoodie,Clothing,40
101,62,Male,Sunglasses,Accessories,98
102,27,Male,Coat,Outerwear,85
103,51,Male,Socks,Clothing,67
104,54,Male,Boots,Footwear,89
105,55,Male,Sunglasses,Accessories,24
106,69,Male,Backpack,Accessories,96
107,64,Male,Jacket,Outerwear,35
108,28,Male,Sneakers,Footwear,67
109,70,Male,Socks,Clothing,79
110,58,Male,T-shirt,Clothing,85
111,56,Male,Backpack,Accessories,26
112,26,Male,Belt,Accessories,75
113,37,Male,Gloves,Accessories,65
114,44,Male,Hat,Accessories,54
115,70,Male,Coat,Outerwear,95
116,53,Male,Skirt,Clothing,94
117,55,Male,Shoes,Footwear,86
118,50,Male,Sandals,Footwear,32
119,50,Male,Sweater,Clothing,45
120,38,Male,Coat,Outerwear,76
121,64,Male,Hat,Accessories,84
122,19,Male,Shorts,Clothing,72
123,40,Male,Backpack,Accessories,40
124,57,Male,Sweater,Clothing,89
125,44,Male,Sweater,Clothing,86
126,49,Male,Shorts,Clothing,54
127,43,Male,Shorts,Clothing,36
128,24,Male,Sweater,Clothing,89
129,20,Male,Scarf,Accessories,32
130,24,Male,Dress,Clothing,67
131,44,Male,Scarf,Accessories,39
132,28,Male,Skirt,Clothing,29
133,30,Male,Backpack,Accessories,58
134,52,Male,Sweater,Clothing,65
135,43,Male,Hat,Accessories,94
